track_id,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,genre_encoded
6f807x0ima9a1j3VPbc7VN,0.748,0.916,-2.634,1,0.0583,0.102,0.0653,0.518,122.036,194754,2
0r7CVbZTWZgbTCYdfa2P31,0.726,0.815,-4.969,1,0.0373,0.0724,0.357,0.693,99.972,162600,2
1z1Hg7Vb0AhHDiEmnDE79l,0.675,0.931,-3.432,0,0.0742,0.0794,0.11,0.613,124.008,176616,2
75FpbthrwQmzHlBJLuGdC7,0.718,0.93,-3.778,1,0.102,0.0287,0.204,0.277,121.956,169093,2
1e8PAfcKUYoKkxPhrHqw4x,0.65,0.833,-4.672,1,0.0359,0.0803,0.0833,0.725,123.976,189052,2
7fvUMiyapMsRRxr07cU8Ef,0.675,0.919,-5.385,1,0.127,0.0799,0.143,0.585,124.982,163049,2
2OAylPUDDfwRGfe0lYqlCQ,0.449,0.856,-4.788,0,0.0623,0.187,0.176,0.152,112.648,187675,2
6b1RNvAcJjQH73eZO4BLAB,0.542,0.903,-2.419,0,0.0434,0.0335,0.111,0.367,127.936,207619,2
7bF6tCO3gFb8INrEDcjNT5,0.594,0.935,-3.562,1,0.0565,0.0249,0.637,0.366,127.015,193187,2
1IXGILkPm0tOCNeq00kCPa,0.642,0.818,-4.552,1,0.032,0.0567,0.0919,0.59,124.957,253040,2
3eFJI470ALf1EYjywPRsJy,0.679,0.923,-6.5,1,0.181,0.146,0.124,0.752,121.984,207894,2
3iJeF2izF1QcpCgUc97BLl,0.437,0.774,-4.918,1,0.0554,0.148,0.133,0.329,123.125,203733,2
6e0CvGZf7CouOpYF8toXHC,0.744,0.726,-4.675,1,0.0463,0.0399,0.374,0.687,121.985,192507,2
3eLdNmnRWr9gIyBcqTSSti,0.572,0.915,-4.451,0,0.0625,0.0111,0.339,0.678,123.919,164516,2
55nMnifaQWKe3f9cbwOXwx,0.69,0.78,-4.446,0,0.0594,0.00733,0.0729,0.238,126.07,255238,2
1EJgymgJHcjSOGSHcYaxvW,0.805,0.835,-4.603,1,0.0896,0.13,0.365,0.722,125.028,188230,2
5WaXMQMlQpq8pwIdaFP43L,0.694,0.901,-4.322,0,0.0948,0.0702,0.427,0.368,118.051,173548,2
3TjLsDgL0bTbSQIF6M5Ki8,0.678,0.747,-5.289,0,0.165,0.0395,0.174,0.516,120.002,189375,2
0GfS3y8Jd7SHWd9R51s7Fo,0.746,0.557,-6.722,1,0.0542,0.103,0.138,0.324,111.961,159404,2
2v3DuCVBbopteJqdM7aKQK,0.467,0.821,-5.466,1,0.0934,0.00791,0.131,0.232,122.676,185366,2
4QAUGy6k7c3IOAhgWz52r7,0.572,0.934,-5.053,0,0.0446,0.00292,0.105,0.204,125.948,215238,2
3Ciaf6WgvG95TGRGxQ1yO8,0.708,0.913,-4.329,0,0.0348,0.089,0.113,0.707,135.016,170667,2
1mC2UjWt25Oixtqu7C6suL,0.684,0.818,-4.477,0,0.128,0.0469,0.119,0.336,123.938,210968,2
2wenGTypSYHXl1sN1pNC7X,0.732,0.85,-5.999,1,0.0444,0.114,0.0388,0.372,124.024,193548,2
4sqABRRGU7CzcHXCyxUzFw,0.62,0.889,-3.785,1,0.0352,0.0163,0.395,0.422,110.018,205093,2
5dy3WUywjZcalTno1io8TQ,0.675,0.76,-7.037,1,0.0434,0.104,0.33,0.468,124.933,172800,2
2M9GeaCQXrV12J0wzBxIwi,0.682,0.851,-7.117,0,0.0363,0.0146,0.0289,0.348,126.0,192381,2
1zzOMDmkRZy0g9f4JTAZKn,0.663,0.905,-3.781,0,0.0511,0.0325,0.333,0.397,125.996,175000,2
4OFFY6L5ywYM1TwhXX69wQ,0.625,0.938,-3.983,1,0.0517,0.00432,0.0923,0.371,127.997,166875,2
1hr5Y2i4NlE3LPvQZ9Q5Ao,0.679,0.909,-2.929,1,0.105,0.0334,0.269,0.819,119.885,155080,2
